namespace_prefix	namespace_name
ensembl.bacteria	Ensembl Bacteria
ensembl.fungi	Ensembl Fungi
ensembl.metazoa	Ensembl Metazoa
ensembl.plant	Ensembl Plants
ensembl.protist	Ensembl Protists
envipath	enviPath
envo	Environment Ontology
eo	Plant Environment Ontology
epd	EPD
erm	European Registry of Materials
erv	Human Endogenous Retrovirus Database
euclinicaltrials	EU Clinical Trials
exac.gene	ExAC Gene
exac.transcript	ExAC Transcript
exac.variant	ExAC Variant
f82a1a	Kids First Data Catalog
facebase	FaceBase Data Repository
fairmd.lipids	FAIRMD Lipids
fairsharing	FAIRsharing
fb	FlyBase
fbol	Fungal Barcode
fcb	the FAIR Cookbook
flowrepository	FlowRepository
fma	FMA
foodon	FoodOn Food Ontology
fplx	FamPlex
fsnp	F-SNP
funcbase.fly	FuncBase Fly
funcbase.human	FuncBase Human
funcbase.mouse	FuncBase Mouse
funcbase.yeast	FuncBase Yeast
funderregistry	FunderRegistry
fungidb	FungiDB
ga4ghdos	Data Object Service
gabi	GABI
gateway	gateway
gcst	GWAS Catalog
gdc	Genomic Data Commons Data Portal
genatlas	Genatlas
genecards	GeneCards
genedb	GeneDB
genefarm	GeneFarm
genetree	GeneTree
genewiki	Gene Wiki
genpept	GenPept
genprop	Genome Properties
geo	GEO
giardiadb	GiardiaDB
github	github
gitlab	GitLab
glida.gpcr	GLIDA GPCR
glida.ligand	GLIDA Ligand
glycoepitope	GlycoEpitope
glycomedb	GlycomeDB
glyconavi	GlycoNAVI
glycopost	GlycoPOST
glytoucan	GlyTouCan
gmd	Golm Metabolome Database
gmd.analyte	Golm Metabolome Database Analyte
gmd.gcms	Golm Metabolome Database GC-MS spectra
gmd.profile	Golm Metabolome Database Profile
gmd.ref	Golm Metabolome Database Reference Substance
gnd	Gemeinsame Normdatei
gnpis	GnpIS
go	Gene Ontology
goa	GOA
gold	Genomes OnLine Database (GOLD)
gold.genome	GOLD genome
gold.meta	GOLD metadata
google.patent	Google Patents
gpcrdb	GPCRDB
gpmdb	GPMDB
gramene.gene	Gramene genes
gramene.protein	Gramene protein
gramene.qtl	Gramene QTL
gramene.taxonomy	Gramene Taxonomy
greengenes	GreenGenes
grid	GRID
grin.taxonomy	GRIN Plant Taxonomy
gro	Gramene Growth Stage Ontology
grsdb	GRSDB
gtr	Genetic Testing Registry Tests
gtrl	Genetic Testing Registry Labs
gudmap	GUDMAP
gwascentral.marker	GWAS Central Marker
gwascentral.phenotype	GWAS Central Phenotype
gwascentral.study	GWAS Central Study
gxa.expt	GXA Expt
gxa.gene	GXA Gene
hamap	HAMAP
hco	Human Chromosome Ontology
hcvdb	HCVDB
hdr	Homeodomain Research
hgmd	HGMD
hgnc	HGNC
hgnc.family	HGNC Family
hgnc.genefamily	HGNC gene family
hgnc.genegroup	HGNC Gene Group
hgnc.symbol	HGNC Symbol
hinv.locus	H-InvDb Locus
hinv.protein	H-InvDb Protein
hinv.transcript	H-InvDb Transcript
hogenom	HOGENOM
homd.seq	HOMD Sequence Metainformation
homd.taxon	HOMD Taxonomy
homologene	HomoloGene
hovergen	HOVERGEN
hp	Human Phenotype Ontology
hpa	HPA
hpm.peptide	Human Proteome Map Peptide
hpm.protein	Human Proteome Map Protein
hprd	HPRD
hpscreg	Human Pluripotent Stem Cell Registry
hssp	HSSP
huge	HUGE
icd	ICD
icdc	Integrated Canine Data Commons
iceberg.element	ICEberg element
iceberg.family	ICEberg family
ideal	IDEAL
identifiers.namespace	Identifiers.org namespace
ido	Infectious Disease Ontology
idoo	Identifiers.org Ontology
idot	Identifiers.org Terms
idr	Image Data Resource
ifloprop	InfoFlora Objects and properties
igsn	International Generic Sample Number
ilx	InterLex
imex	IMEx
img.gene	Integrated Microbial Genomes Gene
img.taxon	Integrated Microbial Genomes Taxon
imgt.hla	IMGT HLA
imgt.ligm	IMGT LIGM
immport	Immunology Database and Analysis Portal (ImmPort)
insdc	Nucleotide Sequence Database
insdc.cds	INSDC CDS
insdc.gca	Genome assembly database - INSDC accessions
insdc.sra	Sequence Read Archive
intact	IntAct
intact.molecule	IntAct Molecule
interpro	InterPro
ird.segment	IRD Segment Sequence
irefweb	iRefWeb
isbn	ISBN
isfinder	ISFinder
isni	International Standard Name Identifier
issn	ISSN
ito	Intelligence Task Ontology
iuphar.family	IUPHAR family
iuphar.ligand	IUPHAR ligand
iuphar.receptor	IUPHAR receptor
jaxmice	JAX Mice
jcggdb	JCGGDB
jcm	Japan Collection of Microorganisms
jcsd	Japan Chemical Substance Dictionary
jstor	JSTOR
jws	JWS Online
kegg	Kyoto Encyclopedia of Genes and Genomes
kegg.compound	KEGG Compound
kegg.disease	KEGG Disease
kegg.drug	KEGG Drug
kegg.environ	KEGG Environ
kegg.genes	KEGG Genes
kegg.genome	KEGG Genome
kegg.glycan	KEGG Glycan
kegg.metagenome	KEGG Metagenome
kegg.module	KEGG Module
kegg.orthology	KEGG Orthology
kegg.pathway	KEGG Pathway
kegg.reaction	KEGG Reaction
knapsack	KNApSAcK
lei	Global LEI Index
lgai.cede	LG Chemical Entity Detection Dataset (LGCEDe)
lgic	Ligand-Gated Ion Channel database
licebase	LiceBase
ligandbook	LigandBook
ligandbox	LigandBox
ligandexpo	Ligand Expo
lincs.cell	LINCS Cell
lincs.data	LINCS Data
lincs.protein	LINCS Protein
lincs.smallmolecule	LINCS Small Molecule
linguist	Linguist
lipidbank	LipidBank
lipidmaps	LIPID MAPS
lncbook	LncBook
lrg	Locus Reference Genomic
lw	LifeWatch Metadata Catalogue
m4i	Metadata4Ing
ma	Mouse Adult Gross Anatomy
macie	MACiE
maggot	Maggot
maizegdb.locus	MaizeGDB Locus
mamo	Mathematical Modelling Ontology
massbank	MassBank
massive	MassIVE
matrixdb.association	MatrixDB
maxo	Medical Action Ontology
mcro	Model Card Ontology
mdm	MDM
meddra	MedDRA
medgen	MedGen
mediadive.medium	MediaDive mediums
medlineplus	MedlinePlus
merops	MEROPS
merops.family	MEROPS Family
merops.inhibitor	MEROPS Inhibitor
metabolights	MetaboLights
metacyc.compound	MetaCyc Compound
metacyc.reaction	MetaCyc Reaction
metanetx.chemical	MetaNetX chemical
metanetx.compartment	MetaNetX compartment
metanetx.reaction	MetaNetX reaction
metatlas	Metabolic Atlas
metlin	METLIN
mex	Metabolome Express
mge	Aclame
mgi	Mouse Genome Database
mgnify.analysis	MGnify Analysis
mgnify.genome	MGnify Genome
mgnify.proj	MGnify Project
mgnify.protein	MGnify Protein
mgnify.samp	MGnify Sample
mgnify.study	MGnify Study
mi	Molecular Interactions Ontology
microscope	MicroScope
microsporidia	MicrosporidiaDB
mim	OMIM
mimodb	MimoDB
minid	Minimal Viable Identifier
minid.test	MINID Test
mint	MINT
mipmod	MIPModDB
mir	Identifiers.org Registry
mirbase	miRBase Sequence
mirbase.mature	miRBase mature sequence
mirex	mirEX
miriam.collection	MIRIAM Registry collection
miriam.resource	MIRIAM Registry resource
mirnest	miRNEST
mirtarbase	miRTarBase
mlc	MLCommons Association
mmdb	Molecular Modeling Database
mmmp.biomaps	Melanoma Molecular Map Project Biomaps
