namespace_prefix	namespace_name	repository	repository_url	similarity	token_overlap	review_reason
dg.80b6	GenoMEL Data Commons	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.577	commons	no exact source/metadata evidence
drugbankv4.target	DrugBank Target v4	drugbank-targets	https://github.com/biobricks-ai/drugbank-targets	0.577	drugbank	no exact source/metadata evidence
pharmgkb.drug	PharmGKB Drug	pharmgkb-pharmacogenomics	https://github.com/biobricks-ai/pharmgkb-pharmacogenomics	0.577	pharmgkb	no exact source/metadata evidence
ec-code	Enzyme Nomenclature	tomer-enzyme-optimal-temperature	https://github.com/biobricks-ai/tomer-enzyme-optimal-temperature	0.576	enzyme	no exact source/metadata evidence
cdpd	Canadian Drug Product Database	fda	https://github.com/biobricks-ai/fda	0.575	drug	no exact source/metadata evidence
datanator.reaction	Datanator Reaction	open-reaction-database-ord	https://github.com/biobricks-ai/open-reaction-database-ord	0.571	reaction	no exact source/metadata evidence
genprop	Genome Properties	qmugs-quantum-properties	https://github.com/biobricks-ai/qmugs-quantum-properties	0.571	properties	no exact source/metadata evidence
jcsd	Japan Chemical Substance Dictionary	kreach-pec-substance-list-inventory-d	https://github.com/biobricks-ai/kreach-pec-substance-list-inventory-d	0.571	substance	no exact source/metadata evidence
nbrc	NITE Biological Research Center Catalogue	biogrid-biological-interactions	https://github.com/biobricks-ai/biogrid-biological-interactions	0.571	biological	no exact source/metadata evidence
nmrshiftdb2	NMR Shift Database	bmrb-nmr-csv-tables	https://github.com/biobricks-ai/bmrb-nmr-csv-tables	0.571	nmr	no exact source/metadata evidence
odor	Odor Molecules DataBase	molecules-dataset-collection	https://github.com/biobricks-ai/molecules-dataset-collection	0.571	molecules	no exact source/metadata evidence
t3db	T3DB	t3db-targets	https://github.com/biobricks-ai/t3db-targets	0.571	t3db	no exact source/metadata evidence
napdi	Natural Product-Drug Interaction Research Data Repository	nih-natural-product-libraries-nccih-nih	https://github.com/biobricks-ai/nih-natural-product-libraries-nccih-nih	0.569	natural,product	no exact source/metadata evidence
cpc	Cooperative Patent Classification	acute-toxicity-classification-10-bins	https://github.com/biobricks-ai/acute-toxicity-classification-10-bins	0.568	classification	no exact source/metadata evidence
lgai.cede	LG Chemical Entity Detection Dataset (LGCEDe)	large-scale-bioactivity-prediction-dataset	https://github.com/biobricks-ai/large-scale-bioactivity-prediction-dataset	0.568	dataset	no exact source/metadata evidence
unipathway.reaction	UniPathway Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.568	reaction	no exact source/metadata evidence
euclinicaltrials	EU Clinical Trials	clintox-clinical-toxicity	https://github.com/biobricks-ai/clintox-clinical-toxicity	0.567	clinical	no exact source/metadata evidence
f82a1a	Kids First Data Catalog	catalog-food-additive-dataset-catalog	https://github.com/biobricks-ai/catalog-food-additive-dataset-catalog	0.567	catalog	no exact source/metadata evidence
apid.interactions	APID Interactomes	dgidb-interactions	https://github.com/biobricks-ai/dgidb-interactions	0.566	interactions	no exact source/metadata evidence
dg.c78ne	Canine Data Commons	cebs-database-commons-rdf	https://github.com/biobricks-ai/cebs-database-commons-rdf	0.566	commons	no exact source/metadata evidence
mi	Molecular Interactions Ontology	stitch-interactions	https://github.com/biobricks-ai/stitch-interactions	0.566	interactions	no exact source/metadata evidence
bigg.reaction	BiGG Reaction	reaction-properties	https://github.com/biobricks-ai/reaction-properties	0.565	reaction	no exact source/metadata evidence
identifiers.namespace	Identifiers.org namespace	identifiers-org-registry-data	https://github.com/biobricks-ai/identifiers-org-registry-data	0.565	org	no exact source/metadata evidence
kegg.reaction	KEGG Reaction	reaction-properties	https://github.com/biobricks-ai/reaction-properties	0.565	reaction	no exact source/metadata evidence
bindingdb	BindingDB	gh-dhimmel-bindingdb	https://github.com/biobricks-ai/gh-dhimmel-bindingdb	0.564	bindingdb	no exact source/metadata evidence
dev.ga4ghdos	Development Data Object Service	epa-development-of-a-csrml-version	https://github.com/biobricks-ai/epa-development-of-a-csrml-version	0.564	development	no exact source/metadata evidence
spdx	SPDX License List	ospar-plonor-list	https://github.com/biobricks-ai/ospar-plonor-list	0.564	list	no exact source/metadata evidence
vmhreaction	VMH reaction	reaction-smiles	https://github.com/biobricks-ai/reaction-smiles	0.564	reaction	no exact source/metadata evidence
begdb	Benchmark Energy & Geometry Database	tox-benchmark-tu-berlin-dataset	https://github.com/biobricks-ai/tox-benchmark-tu-berlin-dataset	0.563	benchmark	no exact source/metadata evidence
morpheus	Morpheus model repository	qsardb-qsar-and-qspr-model-repository	https://github.com/biobricks-ai/qsardb-qsar-and-qspr-model-repository	0.563	model	no exact source/metadata evidence
raid	Research Activity Identifier	nura-nuclear-receptor-activity-dataset	https://github.com/biobricks-ai/nura-nuclear-receptor-activity-dataset	0.563	activity	no exact source/metadata evidence
swiss-model	SWISS-MODEL Repository	qsardb-qsar-and-qspr-model-repository	https://github.com/biobricks-ai/qsardb-qsar-and-qspr-model-repository	0.563	model	no exact source/metadata evidence
dg.md1r	MIDRC Data Commons	gdc	https://github.com/biobricks-ai/gdc	0.562	commons	no exact source/metadata evidence
stitch	STITCH	stitch-interactions	https://github.com/biobricks-ai/stitch-interactions	0.562	stitch	no exact source/metadata evidence
dg.nci35	NCI Data Commons Framework Services	gdc	https://github.com/biobricks-ai/gdc	0.561	commons,nci	no exact source/metadata evidence
pubchem.bioassay	PubChem-bioassay	pubchem-herg-bioactivity	https://github.com/biobricks-ai/pubchem-herg-bioactivity	0.561	pubchem	no exact source/metadata evidence
f82a1a	Kids First Data Catalog	datagov-cata-catalog	https://github.com/biobricks-ai/datagov-cata-catalog	0.560	catalog	no exact source/metadata evidence
gdc	Genomic Data Commons Data Portal	tdcommons-therapeutics-data-commons-tdc	https://github.com/biobricks-ai/tdcommons-therapeutics-data-commons-tdc	0.560	commons	no exact source/metadata evidence
kaggle	Kaggle	tox21-kaggle	https://github.com/biobricks-ai/tox21-kaggle	0.560	kaggle	no exact source/metadata evidence
lincs.smallmolecule	LINCS Small Molecule	pubs-moltoxpred-small-molecule-toxi	https://github.com/biobricks-ai/pubs-moltoxpred-small-molecule-toxi	0.560	molecule,small	no exact source/metadata evidence
lrg	Locus Reference Genomic	jrc-ecvam-reference-rdf	https://github.com/biobricks-ai/jrc-ecvam-reference-rdf	0.560	reference	no exact source/metadata evidence
mirbase.mature	miRBase mature sequence	mirbase	https://github.com/biobricks-ai/mirbase	0.560	mirbase	no exact source/metadata evidence
bbkg	Blue Brain Project Knowledge Graph	biobricks-okg	https://github.com/biobricks-ai/biobricks-okg	0.559	graph,knowledge	no exact source/metadata evidence
euclinicaltrials	EU Clinical Trials	clintox-clinical-toxicity-dataset	https://github.com/biobricks-ai/clintox-clinical-toxicity-dataset	0.559	clinical	no exact source/metadata evidence
f82a1a	Kids First Data Catalog	catalog-pesticides-dataset-catalog-dat	https://github.com/biobricks-ai/catalog-pesticides-dataset-catalog-dat	0.559	catalog	no exact source/metadata evidence
f82a1a	Kids First Data Catalog	epa-values-enterprise-data-catalog-epa	https://github.com/biobricks-ai/epa-values-enterprise-data-catalog-epa	0.559	catalog	no exact source/metadata evidence
metacyc.reaction	MetaCyc Reaction	skin-reaction-rdf	https://github.com/biobricks-ai/skin-reaction-rdf	0.559	reaction	no exact source/metadata evidence
seed.reaction	SEED Reactions	reaction-smiles	https://github.com/biobricks-ai/reaction-smiles	0.558	reaction	no exact source/metadata evidence
sgn	Sol Genomics Network	biosnap-dti-network	https://github.com/biobricks-ai/biosnap-dti-network	0.558	network	no exact source/metadata evidence
gdc	Genomic Data Commons Data Portal	cebs-database-commons-rdf	https://github.com/biobricks-ai/cebs-database-commons-rdf	0.557	commons	no exact source/metadata evidence
genprop	Genome Properties	chemdiv-good-adme-properties-library	https://github.com/biobricks-ai/chemdiv-good-adme-properties-library	0.557	properties	no exact source/metadata evidence
metanetx.reaction	MetaNetX reaction	open-reaction-database-ord	https://github.com/biobricks-ai/open-reaction-database-ord	0.557	reaction	no exact source/metadata evidence
napdi	Natural Product-Drug Interaction Research Data Repository	np-mrd-natural-products-structures	https://github.com/biobricks-ai/np-mrd-natural-products-structures	0.557	natural	no exact source/metadata evidence
peptideatlas.dataset	PeptideAtlas Dataset	catalog-toxcast-dataset-catalog-data-g	https://github.com/biobricks-ai/catalog-toxcast-dataset-catalog-data-g	0.557	dataset	no exact source/metadata evidence
dg.f738	Veterans Precision Oncology Data Commons	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.556	commons	no exact source/metadata evidence
dg.vp07	Veterans Precision Oncology Data Commons	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.556	commons	no exact source/metadata evidence
lincs.cell	LINCS Cell	lincs-consensus	https://github.com/biobricks-ai/lincs-consensus	0.556	lincs	no exact source/metadata evidence
pubchem.bioassay	PubChem-bioassay	hf-skfp-pcba-rdf	https://github.com/biobricks-ai/hf-skfp-pcba-rdf	0.556	bioassay,pubchem	no exact source/metadata evidence
raid	Research Activity Identifier	nura-activity-dataset	https://github.com/biobricks-ai/nura-activity-dataset	0.556	activity	no exact source/metadata evidence
dg.80b6	GenoMEL Data Commons	emergentmind-therapeutic-data-commons	https://github.com/biobricks-ai/emergentmind-therapeutic-data-commons	0.554	commons	no exact source/metadata evidence
dg.c78ne	Canine Data Commons	emergentmind-therapeutic-data-commons	https://github.com/biobricks-ai/emergentmind-therapeutic-data-commons	0.554	commons	no exact source/metadata evidence
dg.md1r	MIDRC Data Commons	tdcommons-therapeutics-data-commons-tdc	https://github.com/biobricks-ai/tdcommons-therapeutics-data-commons-tdc	0.554	commons	no exact source/metadata evidence
pharmgkb.pathways	PharmGKB Pathways	pharmgkb-relationships-dataset	https://github.com/biobricks-ai/pharmgkb-relationships-dataset	0.554	pharmgkb	no exact source/metadata evidence
ccds	Consensus CDS	consensus-bioactivity-dataset	https://github.com/biobricks-ai/consensus-bioactivity-dataset	0.553	consensus	no exact source/metadata evidence
gdc	Genomic Data Commons Data Portal	dataverse-therapeutics-data-commons-http	https://github.com/biobricks-ai/dataverse-therapeutics-data-commons-http	0.553	commons	no exact source/metadata evidence
chembl.target	ChEMBL target	chembl-32-compound-target-pairs	https://github.com/biobricks-ai/chembl-32-compound-target-pairs	0.552	chembl,target	no exact source/metadata evidence
f82a1a	Kids First Data Catalog	catalog-pfas-dataset-catalog	https://github.com/biobricks-ai/catalog-pfas-dataset-catalog	0.552	catalog	no exact source/metadata evidence
t3db	T3DB	t3db-toxins-database	https://github.com/biobricks-ai/t3db-toxins-database	0.552	t3db	no exact source/metadata evidence
tol	Tree of Life	tdc-half-life	https://github.com/biobricks-ai/tdc-half-life	0.552	life	no exact source/metadata evidence
uspto	USPTO	USPTO_ChemReaction	https://github.com/biobricks-ai/USPTO_ChemReaction	0.552	uspto	no exact source/metadata evidence
apid.interactions	APID Interactomes	advancing-drug-target-interactions-prediction	https://github.com/biobricks-ai/advancing-drug-target-interactions-prediction	0.550	interactions	no exact source/metadata evidence
disprot.region	DisProt region	disprot-idp	https://github.com/biobricks-ai/disprot-idp	0.550	disprot	no exact source/metadata evidence
dg.md1r	MIDRC Data Commons	cebs-database-commons-rdf	https://github.com/biobricks-ai/cebs-database-commons-rdf	0.549	commons	no exact source/metadata evidence
ordb	Olfactory Receptor Database	nura-nuclear-receptor-activity	https://github.com/biobricks-ai/nura-nuclear-receptor-activity	0.548	receptor	no exact source/metadata evidence
peptideatlas.dataset	PeptideAtlas Dataset	catalog-dataset-catalog-data-gov	https://github.com/biobricks-ai/catalog-dataset-catalog-data-gov	0.548	dataset	no exact source/metadata evidence
cpc	Cooperative Patent Classification	uci-toxicity-2-classification	https://github.com/biobricks-ai/uci-toxicity-2-classification	0.545	classification	no exact source/metadata evidence
dg.md1r	MIDRC Data Commons	dataverse-therapeutics-data-commons-http	https://github.com/biobricks-ai/dataverse-therapeutics-data-commons-http	0.545	commons	no exact source/metadata evidence
gcst	GWAS Catalog	catalog-toxcast-dataset-catalog-data-g	https://github.com/biobricks-ai/catalog-toxcast-dataset-catalog-data-g	0.545	catalog	no exact source/metadata evidence
ngl	NASA GeneLab	spoke-genelab-rdf	https://github.com/biobricks-ai/spoke-genelab-rdf	0.545	genelab	no exact source/metadata evidence
apid.interactions	APID Interactomes	cyp450-interactions-dataset-curated	https://github.com/biobricks-ai/cyp450-interactions-dataset-curated	0.543	interactions	no exact source/metadata evidence
cpc	Cooperative Patent Classification	echa-harmonised-classification-kg	https://github.com/biobricks-ai/echa-harmonised-classification-kg	0.543	classification	no exact source/metadata evidence
dg.7c5b	Environmental Data Commons	environmental-persistence	https://github.com/biobricks-ai/environmental-persistence	0.542	environmental	no exact source/metadata evidence
dg.va03	VA Data Commons	cebs-database-commons-rdf	https://github.com/biobricks-ai/cebs-database-commons-rdf	0.542	commons	no exact source/metadata evidence
metatlas	Metabolic Atlas	npatlas-natural-products-atlas-home	https://github.com/biobricks-ai/npatlas-natural-products-atlas-home	0.542	atlas	no exact source/metadata evidence
plant_reactome	Plant Reactome	reactome-pathway-db	https://github.com/biobricks-ai/reactome-pathway-db	0.542	reactome	no exact source/metadata evidence
oryzabase.reference	Oryzabase	docs-csv-format-reference-drugbank	https://github.com/biobricks-ai/docs-csv-format-reference-drugbank	0.540	reference	no exact source/metadata evidence
idot	Identifiers.org Terms	identifiers-org-graph	https://github.com/biobricks-ai/identifiers-org-graph	0.539	org	no exact source/metadata evidence
sedml.format	SED-ML data format	rotconml-rdf	https://github.com/biobricks-ai/rotconml-rdf	0.539	format	no exact source/metadata evidence
chembl.target	ChEMBL target	chembl-torchdrug-filtered	https://github.com/biobricks-ai/chembl-torchdrug-filtered	0.538	chembl	no exact source/metadata evidence
dg.c78ne	Canine Data Commons	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.538	commons	no exact source/metadata evidence
mi	Molecular Interactions Ontology	dgidb-interactions	https://github.com/biobricks-ai/dgidb-interactions	0.538	interactions	no exact source/metadata evidence
oryzabase.reference	Oryzabase	jrc-ecvam-reference-rdf	https://github.com/biobricks-ai/jrc-ecvam-reference-rdf	0.538	reference	no exact source/metadata evidence
peptideatlas.dataset	PeptideAtlas Dataset	catalog-qsar-dataset-catalog-data-gov	https://github.com/biobricks-ai/catalog-qsar-dataset-catalog-data-gov	0.538	dataset	no exact source/metadata evidence
bmrb	Biological Magnetic Resonance Data Bank	catalog-biological-and-chemical-data-f	https://github.com/biobricks-ai/catalog-biological-and-chemical-data-f	0.537	biological	no exact source/metadata evidence
dg.4825	ACCOuNT Data Commons	tdcommons-therapeutics-data-commons-tdc	https://github.com/biobricks-ai/tdcommons-therapeutics-data-commons-tdc	0.537	commons	no exact source/metadata evidence
f82a1a	Kids First Data Catalog	catalog-qsar-dataset-catalog-data-gov	https://github.com/biobricks-ai/catalog-qsar-dataset-catalog-data-gov	0.537	catalog	no exact source/metadata evidence
tissuelist	Tissue List	pfasstruct-epa-list	https://github.com/biobricks-ai/pfasstruct-epa-list	0.537	list	no exact source/metadata evidence
icdc	Integrated Canine Data Commons	huggingface-tdc-therapeutics-commons	https://github.com/biobricks-ai/huggingface-tdc-therapeutics-commons	0.535	commons	no exact source/metadata evidence
odc.sci	Open Data Commons for Spinal Cord Injury	gdc	https://github.com/biobricks-ai/gdc	0.535	commons	no exact source/metadata evidence
pubchem.bioassay	PubChem-bioassay	pcba-rdf	https://github.com/biobricks-ai/pcba-rdf	0.535	bioassay,pubchem	no exact source/metadata evidence
sdbs	Spectral Database for Organic Compounds	surechembl-patent-compounds	https://github.com/biobricks-ai/surechembl-patent-compounds	0.535	compounds	no exact source/metadata evidence
bao	BioAssay Ontology	pubchem-bioassay-summary	https://github.com/biobricks-ai/pubchem-bioassay-summary	0.533	bioassay	no exact source/metadata evidence
cdpd	Canadian Drug Product Database	twosides-drug-drug-interactions-database	https://github.com/biobricks-ai/twosides-drug-drug-interactions-database	0.533	drug	no exact source/metadata evidence
dg.va03	VA Data Commons	emergentmind-therapeutic-data-commons	https://github.com/biobricks-ai/emergentmind-therapeutic-data-commons	0.533	commons	no exact source/metadata evidence
doid	Human Disease Ontology	ctd-chemical-disease-associations	https://github.com/biobricks-ai/ctd-chemical-disease-associations	0.533	disease	no exact source/metadata evidence
gcst	GWAS Catalog	catalog-pfas-dataset-catalog	https://github.com/biobricks-ai/catalog-pfas-dataset-catalog	0.533	catalog	no exact source/metadata evidence
gdc	Genomic Data Commons Data Portal	therapeutic-data-commons	https://github.com/biobricks-ai/therapeutic-data-commons	0.533	commons	no exact source/metadata evidence
ifloprop	InfoFlora Objects and properties	reaction-properties	https://github.com/biobricks-ai/reaction-properties	0.533	properties	no exact source/metadata evidence
opm	OPM	opm-data	https://github.com/biobricks-ai/opm-data	0.533	opm	no exact source/metadata evidence
pharmgkb.pathways	PharmGKB Pathways	pharmgkb-pharmacogenomics	https://github.com/biobricks-ai/pharmgkb-pharmacogenomics	0.533	pharmgkb	no exact source/metadata evidence
vmhreaction	VMH reaction	hf-skfp-skin-reaction	https://github.com/biobricks-ai/hf-skfp-skin-reaction	0.533	reaction	no exact source/metadata evidence
jcsd	Japan Chemical Substance Dictionary	epa-chemicals-under-the-toxic-substance	https://github.com/biobricks-ai/epa-chemicals-under-the-toxic-substance	0.532	substance	no exact source/metadata evidence
mi	Molecular Interactions Ontology	advancing-drug-target-interactions-prediction	https://github.com/biobricks-ai/advancing-drug-target-interactions-prediction	0.532	interactions	no exact source/metadata evidence
cellimage	Cell Image Library	chemdiv-good-adme-properties-library	https://github.com/biobricks-ai/chemdiv-good-adme-properties-library	0.531	library	no exact source/metadata evidence
datanator.reaction	Datanator Reaction	transition1x-reaction-paths	https://github.com/biobricks-ai/transition1x-reaction-paths	0.531	reaction	no exact source/metadata evidence
genprop	Genome Properties	vqm24-quantum-properties	https://github.com/biobricks-ai/vqm24-quantum-properties	0.531	properties	no exact source/metadata evidence
go_ref	Gene Ontology Reference	cmr-epa-s-toxicity-reference-datab	https://github.com/biobricks-ai/cmr-epa-s-toxicity-reference-datab	0.531	reference	no exact source/metadata evidence
intact.molecule	IntAct Molecule	tox21-molecule-net	https://github.com/biobricks-ai/tox21-molecule-net	0.531	molecule	no exact source/metadata evidence
mi	Molecular Interactions Ontology	ctd-chemical-gene-interactions	https://github.com/biobricks-ai/ctd-chemical-gene-interactions	0.531	interactions	no exact source/metadata evidence
obv	Austrian Library Network	gnps-spectral-library	https://github.com/biobricks-ai/gnps-spectral-library	0.531	library	no exact source/metadata evidence
pathwaycommons	Pathway Commons	reactome-pathway-db	https://github.com/biobricks-ai/reactome-pathway-db	0.531	pathway	no exact source/metadata evidence
pmdb	Protein Model Database	europa-jrc-qsar-model-database-jrc-da	https://github.com/biobricks-ai/europa-jrc-qsar-model-database-jrc-da	0.531	model	no exact source/metadata evidence
psipar	Protein Affinity Reagents	drug-target-affinity-predictions	https://github.com/biobricks-ai/drug-target-affinity-predictions	0.531	affinity	no exact source/metadata evidence
umbbd.reaction	UM-BBD Reaction	reaction-properties	https://github.com/biobricks-ai/reaction-properties	0.531	reaction	no exact source/metadata evidence
sabiork.reaction	SABIO-RK Reaction	reaction-smiles-rdf	https://github.com/biobricks-ai/reaction-smiles-rdf	0.530	reaction	no exact source/metadata evidence
complexportal	Complex Portal	oecd-echemportal-global-portal-to-inform	https://github.com/biobricks-ai/oecd-echemportal-global-portal-to-inform	0.529	portal	no exact source/metadata evidence
comptox	CompTox Chemistry Dashboard	chemixhub-rdf	https://github.com/biobricks-ai/chemixhub-rdf	0.529	chemistry	no exact source/metadata evidence
f82a1a	Kids First Data Catalog	catalog-toxcast-dataset-catalog-data-g	https://github.com/biobricks-ai/catalog-toxcast-dataset-catalog-data-g	0.529	catalog	no exact source/metadata evidence
